ds,service,env,latency_hat,cpu_hat,anom_hat,latency_norm,cpu_norm,anom_norm,risk_score
2025-10-31,EC2,staging,24.94711406504783,0.2743211583567545,,0.8781441352034135,0.11266586248880167,0.0,0.385
2025-11-01,EC2,staging,24.51760175016761,0.289316578948687,,0.2048075812045584,0.674123149399665,0.0,0.284
2025-11-02,EC2,staging,24.85920812473717,0.2884670565744777,,0.740336019174617,0.6423154035302193,0.0,0.489
2025-11-03,EC2,staging,24.403490122299136,0.2860252845086824,,0.02591741294108039,0.5508907775311518,0.0,0.176
2025-11-04,EC2,staging,24.952987805963502,0.2950110253760304,,0.887352263422841,0.8873341375113002,0.0,0.621
2025-11-05,EC2,staging,24.99177954226684,0.2867367024464434,,0.9481651741152995,0.5775276286115336,0.0,0.553
2025-11-06,EC2,staging,24.822346562666656,0.2859401047301707,,0.6825489981284434,0.5477014833696661,0.0,0.437
2025-11-07,EC2,staging,24.930581696557528,0.2728166164853171,,0.8522267222607737,0.056332931244743784,0.0,0.358
2025-11-08,EC2,staging,24.50106938167716,0.2878120370772092,,0.1788901682616846,0.6177902181540961,0.0,0.257
2025-11-09,EC2,staging,24.84267575624651,0.28696251470304,,0.7144186062314202,0.5859824722861532,0.0,0.462
2025-11-10,EC2,staging,24.386957753809828,0.2845207426371952,,0.0,0.4945578462852295,0.0,0.148
2025-11-11,EC2,staging,24.93645543747431,0.2935064835045685,,0.8614348504819445,0.8310012062663257,0.0,0.594
2025-11-12,EC2,staging,24.975247173778296,0.2852321605750038,,0.9222477611754166,0.5211946973673947,0.0,0.525
2025-11-13,EC2,staging,24.805814194176385,0.2844355628587593,,0.6566315851858537,0.491368552126585,0.0,0.41
2025-11-14,EC2,staging,24.91404932806605,0.2713120746138613,,0.8263093093162903,0.0,0.0,0.331
2025-11-15,EC2,staging,24.48453701318648,0.2863074952057633,,0.1529727553184544,0.5614572869097223,0.0,0.23
2025-11-16,EC2,staging,24.82614338775585,0.2854579728316023,,0.6885011932882178,0.5296495410420848,0.0,0.434
2025-10-17,LAMBDA,dev,15.07972584437279,0.3043670214224854,,0.5960951108249904,0.5504252524674095,0.0,0.404
2025-10-18,LAMBDA,dev,14.672892349061607,0.294992293711649,,0.0,0.021681841715050384,0.0,0.007
2025-10-19,LAMBDA,dev,15.056206559703863,0.3056756897161545,,0.561634500371751,0.624235368182902,0.0,0.412
2025-10-20,LAMBDA,dev,15.127730762027577,0.3077105082236208,,0.6664322316357704,0.7390010350999368,0.0,0.488
2025-10-21,LAMBDA,dev,14.67928372033594,0.3001757868515791,,0.009364679191871807,0.31403570275039877,0.0,0.098
2025-10-22,LAMBDA,dev,14.957341012688516,0.2956078354983391,,0.41677605119266126,0.0563989741794861,0.0,0.184
2025-10-23,LAMBDA,dev,15.31939153507764,0.3123380727076238,,0.9472548558021847,1.0,0.0,0.679
2025-10-24,LAMBDA,dev,15.091725322858856,0.3042709155617646,,0.6136768255570151,0.5450047920382429,0.0,0.409
2025-10-25,LAMBDA,dev,14.68489182754796,0.2948961878509484,,0.017581714732443715,0.016261381287023546,0.0,0.012
2025-10-26,LAMBDA,dev,15.068206038190617,0.305579583855454,,0.5792162151047829,0.6188149077548784,0.0,0.417
2025-10-27,LAMBDA,dev,15.139730240513936,0.3076144023628998,,0.6840139463682244,0.7335805746707578,0.0,0.494
2025-10-28,LAMBDA,dev,14.691283198823184,0.3000796809909021,,0.026946393925622095,0.3086152423237026,0.0,0.103
2025-10-29,LAMBDA,dev,14.96934049117561,0.2955117296376398,,0.4343577659261903,0.05097851375153127,0.0,0.189
2025-10-30,LAMBDA,dev,15.331391013564277,0.3122419668468995,,0.9648365705350449,0.9945795395706332,0.0,0.684
2025-10-31,LAMBDA,dev,15.10372480134509,0.3041748097010271,,0.6312585402892844,0.5395843316081341,0.0,0.414
2025-11-01,LAMBDA,dev,14.696891306034589,0.2948000819902297,,0.03516342946529346,0.01084092085797604,0.0,0.017
2025-11-02,LAMBDA,dev,15.080205516675708,0.3054834779946981,,0.5967979298353787,0.613394447323733,0.0,0.423
2025-11-03,LAMBDA,dev,15.151729718999968,0.3075182965021891,,0.7015956611001997,0.7281601142421611,0.0,0.499
2025-11-04,LAMBDA,dev,14.70328267730948,0.2999835751301805,,0.04452810865798252,0.3031947818944891,0.0,0.109
2025-11-05,LAMBDA,dev,14.981339969662445,0.2954156237769302,,0.451939480659342,0.04555805332299723,0.0,0.194
2025-11-06,LAMBDA,dev,15.343390492050869,0.3121458609861995,,0.98241828526784,0.9891590791426408,0.0,0.69
2025-11-07,LAMBDA,dev,15.115724279831154,0.3040787038403064,,0.6488402550213065,0.5341638711789707,0.0,0.42
2025-11-08,LAMBDA,dev,14.708890784520994,0.2947039761295132,,0.05274514419781525,0.005420460429050637,0.0,0.023
2025-11-09,LAMBDA,dev,15.092204995162458,0.3053873721339975,,0.6143796445684054,0.6079739868957063,0.0,0.428
2025-11-10,LAMBDA,dev,15.163729197486662,0.3074221906414578,,0.7191773758331431,0.7227396538124029,0.0,0.504
2025-11-11,LAMBDA,dev,14.715282155796032,0.2998874692694561,,0.062109823390720346,0.2977743214651191,0.0,0.114
2025-11-12,LAMBDA,dev,14.993339448147289,0.295319517916184,,0.46952119538957593,0.04013759289239681,0.0,0.2
2025-11-13,LAMBDA,dev,15.355389970537027,0.312049755125461,,1.0,0.9837386187124755,0.0,0.695
2025-11-14,LAMBDA,dev,15.127723758317387,0.303982597979569,,0.6664219697535758,0.5287434107488681,0.0,0.425
2025-11-15,LAMBDA,dev,14.720890263007623,0.2946078702687945,,0.070326858930665,0.0,0.0,0.028
2025-10-18,LAMBDA,prod,15.435212101396516,0.4685151774272548,0.0135170278582423,0.1860476396069483,0.0,0.09594219151784787,0.103
2025-10-19,LAMBDA,prod,15.50203233807458,0.4716064474691836,0.024053901196011,0.25678862375127487,0.0672141007465617,0.565875139247363,0.293
2025-10-20,LAMBDA,prod,15.259475963960712,0.4714642234714745,0.0337878828047232,0.0,0.06412169601292808,1.0,0.319
2025-10-21,LAMBDA,prod,15.47683290424191,0.4705980991943333,0.0284217223875752,0.2301105867100183,0.045289383198714984,0.7606751545754266,0.334
2025-10-22,LAMBDA,prod,15.48894501980253,0.4710298131481209,0.0286540540888358,0.24293339335400327,0.05467622575533321,0.7710368926095224,0.345
2025-10-23,LAMBDA,prod,15.488990342765682,0.473359618430877,0.0247990060688335,0.24298137568955103,0.10533364645007391,0.5991059960707069,0.309
2025-10-24,LAMBDA,prod,15.99379946131151,0.4933261892579864,0.0116943351723053,0.7774106986956061,0.5394707761520506,0.014652104862143264,0.477
2025-10-25,LAMBDA,prod,15.505296272899296,0.4755753040837026,0.0134075176442141,0.26024407337495364,0.1535097412822185,0.09105815656411084,0.177
2025-10-26,LAMBDA,prod,15.572116509577397,0.4786665741256458,0.0239443909819896,0.33098505751931967,0.22072384202909281,0.5609911042939292,0.367
2025-10-27,LAMBDA,prod,15.32956013546411,0.4785243501279544,0.03367837259069,0.07419643376865975,0.21763143729584541,0.9951159650460399,0.394
2025-10-28,LAMBDA,prod,15.546917075744688,0.4776582258508169,0.0283122121735558,0.3043070204780217,0.198799124481712,0.7557911196220821,0.408
